"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_8_keys","key_resp_8_rt","key_resp_8_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","verification_trial_started","verification_trial_stopped","verification_correct","verification_prompt","key_resp_6_keys","key_resp_6_rt","key_resp_6_duration","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration"
"A",NA,0.5639,136.7043,"space",136.1085,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,136.7045,220.1715,"space",83.4465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,220.1716,227.2618,"space",7.0704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.278,"[""up""]",230.8154,0,FALSE,1,1,NA,230.8161,232.0168,232.0172,233.8184,233.8185,234.8194,0,0,0,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.8198,"[""left""]",237.0213,1,TRUE,1,1,NA,237.0219,238.2228,238.2232,240.0246,240.0247,241.0255,0,1,1,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.026,"[""down""]",243.7448,1,FALSE,0,1,NA,243.7451,244.9461,244.9464,246.7478,246.748,247.7488,0,2,2,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.7493,"[""left""]",249.3673,1,TRUE,1,1,NA,249.3678,250.5682,250.5686,252.3706,252.3706,253.3711,0,3,3,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253.3715,"[""left""]",255.0396,1,TRUE,1,1,NA,255.04,256.2407,256.2412,258.0426,258.0426,259.0434,0,4,4,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.0438,"[""down""]",260.8119,1,FALSE,0,1,NA,260.8123,262.0132,262.0135,263.8149,263.815,264.8159,0,5,5,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,53,"male","2025-11-21_16h35.37.789","Category_Training_LabelAuditory","2024.2.4","Win32",59.88023952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.8163,"[""down""]",266.7347,0,FALSE,1,1,NA,266.735,267.9359,267.9361,269.7376,269.7377,270.7386,0,6,6,1,1,"resources/F7Fbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
