"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","verification_trial_started","verification_trial_stopped","verification_correct","verification_prompt","key_resp_6_keys","key_resp_6_rt","key_resp_6_duration","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration"
"B",NA,0.8055,3.0657,"space",2.2399,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,3.0658,21.8078,"space",18.7301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,21.8081,23.1391,"space",1.3188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.155,"[""up""]",24.7054,0,FALSE,1,1,NA,24.7063,25.9061,25.9064,27.7019,27.702,28.7018,0,0,0,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7022,"[""right""]",31.0561,0,FALSE,1,1,NA,31.0589,32.261,32.2615,34.0542,34.0543,35.0576,0,1,1,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0589,"[""left""]",37.1168,1,TRUE,1,1,NA,37.1172,38.3168,38.3171,40.1131,40.1131,41.1121,0,2,2,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1124,"[""down""]",43.7346,1,TRUE,1,1,NA,43.735,44.9349,44.9352,46.734,46.7342,47.732,0,3,3,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7342,"[""left""]",49.619,0,TRUE,0,1,NA,49.6211,50.8202,50.823,52.618,52.618,53.6152,0,4,4,3,1,"resources/F7Fdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.617,"[""right""]",55.9663,0,TRUE,0,1,NA,55.9683,57.1677,57.1693,58.9662,58.9663,59.9628,0,5,5,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.9653,"[""left""]",62.0877,1,TRUE,1,1,NA,62.0882,63.2908,63.2918,65.0875,65.0876,66.0863,0,6,6,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,36,"female","2025-11-21_18h52.19.047","Category_Training_LabelWritten","2024.2.4","Win32",142.8571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0867,"[""down""]",67.9395,0,TRUE,0,1,NA,67.9413,69.1402,69.1428,70.9358,70.9358,71.9374,0,7,7,4,1,"resources/F7Mah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
