"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","verification_trial_started","verification_trial_stopped","verification_correct","verification_prompt","key_resp_6_keys","key_resp_6_rt","key_resp_6_duration","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration"
"B",NA,0.5419,2.6512,"space",2.0885,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,2.6513,40.7849,"space",38.1215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,40.7849,46.6432,"space",5.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6692,"[""left""]",49.7271,0,TRUE,0,1,NA,49.7295,50.9255,50.9261,52.9256,52.9261,53.9263,0,0,0,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.9268,"[""right""]",55.2595,0,FALSE,1,1,NA,55.2614,56.4605,56.4614,58.4597,58.4599,59.4595,0,1,1,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.46,"[""right""]",61.376,0,TRUE,0,1,NA,61.3766,62.5774,62.578,64.5766,64.5768,65.576,0,2,2,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5765,"[""down""]",69.0514,1,TRUE,1,1,NA,69.0525,70.2527,70.2537,72.2511,72.2512,73.2509,0,3,3,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.2514,"[""left""]",74.8012,1,FALSE,0,1,NA,74.8016,76.0029,76.0036,78.001,78.001,79.0011,0,4,4,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.0015,"[""left""]",82.5754,1,FALSE,0,1,NA,82.5769,83.7765,83.7775,85.7761,85.7762,86.776,0,5,5,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,23,"Woman","2025-11-21_16h29.45.416","Category_Training_Location","2024.2.4","MacIntel",135.1351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7769,"[""left""]",88.3092,1,TRUE,1,1,NA,88.3098,89.5099,89.5106,91.5095,91.5095,92.51,0,6,6,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
