"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","verification_trial_started","verification_trial_stopped","verification_correct","verification_prompt","key_resp_6_keys","key_resp_6_rt","key_resp_6_duration","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration","end_game_started","end_game_stopped","key_resp_5_keys","key_resp_5_rt","key_resp_5_duration"
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.806,"[""right""]",152.2887,1,TRUE,1,1,NA,152.2892,153.4887,153.4899,155.2887,155.2888,156.289,0,8,8,1,1,"resources/F7Fbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.2894,"[""down""]",159.405,1,TRUE,1,1,NA,159.4056,160.6051,160.6054,162.4047,162.4047,163.4054,0,9,9,3,1,"resources/F7Fdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.4057,"[""up""]",165.7047,1,FALSE,0,1,NA,165.7051,166.9048,166.9055,168.7049,168.7049,169.7051,0,10,10,9,1,"resources/F8Fbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.7055,"[""up""]",171.7213,1,TRUE,1,1,NA,171.7217,172.9214,172.922,174.7212,174.7214,175.722,0,11,11,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.7224,"[""left""]",178.1877,0,TRUE,0,1,NA,178.188,179.388,179.3888,181.1876,181.1876,182.1889,0,12,12,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.1895,"[""down""]",184.7709,1,TRUE,1,1,NA,184.7713,185.9713,185.9722,187.7713,187.7713,188.7717,0,13,13,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.7721,"[""up""]",190.8713,1,TRUE,1,1,NA,190.8716,192.0707,192.071,193.8706,193.8706,194.8713,0,14,14,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.8717,"[""left""]",196.8042,1,FALSE,0,1,NA,196.8048,198.0043,198.0049,199.8042,199.8042,200.8046,0,15,15,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.2744,"[""right""]",223.8869,1,FALSE,0,2,NA,223.8874,225.0868,225.0872,226.8886,226.8886,227.8879,0,0,0,10,1,"resources/F8Fch0.png",2,200.8052,215.2876,0,"grecious","left",14.4656,NA,215.288,221.2706,"space",5.9578,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.8885,"[""right""]",230.0534,1,FALSE,0,2,NA,230.0537,231.2534,231.2537,233.0532,233.0533,234.0535,0,1,1,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.0541,"[""down""]",236.07,1,TRUE,1,2,NA,236.0703,237.2701,237.2708,239.0699,239.0699,240.0698,0,2,2,3,1,"resources/F7Fdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.0702,"[""left""]",242.2365,1,TRUE,1,2,NA,242.2368,243.4364,243.4367,245.2363,245.2363,246.2373,0,3,3,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.238,"[""up""]",248.7195,1,TRUE,1,2,NA,248.7199,249.9196,249.9199,251.7193,251.7193,252.7205,0,4,4,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.7208,"[""left""]",254.7529,1,FALSE,0,2,NA,254.7534,255.9528,255.9535,257.7527,257.7528,258.7533,0,5,5,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.7537,"[""up""]",260.6861,1,FALSE,0,2,NA,260.6867,261.8864,261.8869,263.6858,263.6858,264.6869,0,6,6,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.6872,"[""right""]",266.7024,1,FALSE,0,2,NA,266.7029,267.9026,267.9031,269.7025,269.7026,270.703,0,7,7,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.7033,"[""down""]",273.9688,1,FALSE,0,2,NA,273.9694,275.1689,275.1691,276.969,276.9691,277.9695,0,8,8,9,1,"resources/F8Fbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
