"participant","counterbalance_group","exp_name","block","alien_stim","category","friendly","approach","key_resp_actual","correct","trial_started","trial_stopped","trial","condition"
7,"A","Category_Training_NoLabel",1,"resources/F8Mdh0.png",2,0,TRUE,"[""up""]",0,74.995,78.9273,1,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F8Mah0.png",2,0,FALSE,"[""up""]",1,82.9311,86.0849,2,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F8Fch0.png",2,0,TRUE,"[""right""]",0,90.093,94.0426,3,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F8Fbh0.png",2,0,FALSE,"[""right""]",1,98.0463,100.2491,4,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F8Fah0.png",2,0,FALSE,"[""right""]",1,104.2316,107.1964,5,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Mdh0.png",1,1,FALSE,"[""down""]",0,111.1955,114.0888,6,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F8Mbh0.png",2,0,TRUE,"[""left""]",0,118.0698,120.4866,7,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Fah0.png",1,1,FALSE,"[""left""]",0,124.4811,127.7024,8,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Mch0.png",1,1,FALSE,"[""left""]",0,131.6876,133.9804,9,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Mah0.png",1,1,FALSE,"[""down""]",0,137.988,140.8929,10,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Fch0.png",1,1,FALSE,"[""down""]",0,144.8758,147.5569,11,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F8Fdh0.png",2,0,FALSE,"[""up""]",1,151.5651,156.8601,12,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F8Mch0.png",2,0,TRUE,"[""up""]",0,160.869,163.1622,13,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Mbh0.png",1,1,TRUE,"[""down""]",1,167.151,169.9029,14,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Fbh0.png",1,1,TRUE,"[""left""]",1,173.8926,176.7688,15,"No_Label"
7,"A","Category_Training_NoLabel",1,"resources/F7Fdh0.png",1,1,TRUE,"[""up""]",1,180.776,183.183,16,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Mch0.png",1,1,FALSE,"[""up""]",0,193.8582,196.5725,17,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Fah0.png",1,1,FALSE,"[""left""]",0,200.561,203.1621,18,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Mbh0.png",1,1,FALSE,"[""left""]",0,207.1587,210.6096,19,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Fbh0.png",1,1,TRUE,"[""right""]",1,214.6016,217.0623,20,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Mdh0.png",2,0,FALSE,"[""up""]",1,221.0591,223.4468,21,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Fch0.png",1,1,FALSE,"[""right""]",0,227.4355,229.7349,22,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Fch0.png",2,0,FALSE,"[""down""]",1,233.7428,236.3404,23,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Mbh0.png",2,0,TRUE,"[""right""]",0,240.3444,242.9456,24,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Fdh0.png",2,0,TRUE,"[""left""]",0,246.9478,249.5903,25,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Fdh0.png",1,1,TRUE,"[""left""]",1,253.5944,255.9613,26,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Mah0.png",2,0,TRUE,"[""left""]",0,259.9564,262.1879,27,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Fbh0.png",2,0,TRUE,"[""down""]",0,266.1704,268.5973,28,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Mch0.png",2,0,FALSE,"[""down""]",1,272.6049,275.2442,29,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Mdh0.png",1,1,FALSE,"[""right""]",0,279.2392,281.476,30,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F7Mah0.png",1,1,TRUE,"[""left""]",1,285.4833,287.6907,31,"No_Label"
7,"A","Category_Training_NoLabel",2,"resources/F8Fah0.png",2,0,FALSE,"[""up""]",1,291.6824,294.0058,32,"No_Label"
7,"A","Category_Training_NoLabel",3,"resources/F8Mah0.png",2,0,FALSE,"[""right""]",1,299.8522,302.2584,33,"No_Label"
