"participant","counterbalance_group","exp_name","block","alien_stim","category","friendly","approach","key_resp_actual","correct","trial_started","trial_stopped","trial","condition"
3,"B","Category_Training_LabelWritten",1,"resources/F8Mbh0.png",2,1,FALSE,"[""up""]",0,23.155,24.7054,1,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F8Mch0.png",2,1,FALSE,"[""right""]",0,28.7022,31.0561,2,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F8Fah0.png",2,1,TRUE,"[""left""]",1,35.0589,37.1168,3,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F8Fdh0.png",2,1,TRUE,"[""down""]",1,41.1124,43.7346,4,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F7Fdh0.png",1,0,TRUE,"[""left""]",0,47.7342,49.619,5,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F7Fah0.png",1,0,TRUE,"[""right""]",0,53.617,55.9663,6,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F8Fch0.png",2,1,TRUE,"[""left""]",1,59.9653,62.0877,7,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F7Mah0.png",1,0,TRUE,"[""down""]",0,66.0867,67.9395,8,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F8Mdh0.png",2,1,TRUE,"[""up""]",1,71.9394,73.7179,9,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F8Mah0.png",2,1,TRUE,"[""left""]",1,77.7199,80.5554,10,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F7Mdh0.png",1,0,TRUE,"[""right""]",0,84.5576,86.6503,11,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F7Mbh0.png",1,0,TRUE,"[""down""]",0,90.6549,92.6448,12,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F7Fch0.png",1,0,TRUE,"[""left""]",0,96.645,98.6168,13,"Label_Written"
3,"B","Category_Training_LabelWritten",1,"resources/F8Fbh0.png",2,1,FALSE,"[""left""]",0,102.6182,104.8933,14,"Label_Written"
